#time 	 prey_t	predator1_t	predator2_t
0.000000 1.700000 1.700000 1.700000
0.005000 1.697113 1.700594 1.700594
0.010000 1.694234 1.701186 1.701186
0.015000 1.691360 1.701775 1.701775
0.020000 1.688494 1.702362 1.702362
0.025000 1.685634 1.702947 1.702947
0.030000 1.682781 1.703530 1.703530
0.035000 1.679935 1.704110 1.704110
0.040000 1.677096 1.704688 1.704688
0.045000 1.674263 1.705264 1.705264
0.050000 1.671436 1.705838 1.705838
0.055000 1.668616 1.706410 1.706410
0.060000 1.665803 1.706979 1.706979
0.065000 1.662996 1.707546 1.707546
0.070000 1.660196 1.708111 1.708111
0.075000 1.657402 1.708674 1.708674
0.080000 1.654615 1.709234 1.709234
0.085000 1.651835 1.709793 1.709793
0.090000 1.649060 1.710349 1.710349
0.095000 1.646292 1.710903 1.710903
0.100000 1.643531 1.711455 1.711455
0.105000 1.640776 1.712004 1.712004
0.110000 1.638027 1.712552 1.712552
0.115000 1.635285 1.713097 1.713097
0.120000 1.632549 1.713640 1.713640
0.125000 1.629819 1.714181 1.714181
0.130000 1.627096 1.714720 1.714720
0.135000 1.624379 1.715256 1.715256
0.140000 1.621668 1.715791 1.715791
0.145000 1.618963 1.716323 1.716323
0.150000 1.616265 1.716853 1.716853
0.155000 1.613573 1.717381 1.717381
0.160000 1.610887 1.717907 1.717907
0.165000 1.608207 1.718430 1.718430
0.170000 1.605533 1.718952 1.718952
0.175000 1.602866 1.719471 1.719471
0.180000 1.600204 1.719988 1.719988
0.185000 1.597549 1.720504 1.720504
0.190000 1.594900 1.721017 1.721017
0.195000 1.592256 1.721527 1.721527
0.200000 1.589619 1.722036 1.722036
0.205000 1.586988 1.722543 1.722543
0.210000 1.584363 1.723047 1.723047
0.215000 1.581744 1.723550 1.723550
0.220000 1.579131 1.724050 1.724050
0.225000 1.576523 1.724548 1.724548
0.230000 1.573922 1.725044 1.725044
0.235000 1.571327 1.725538 1.725538
0.240000 1.568737 1.726030 1.726030
0.245000 1.566153 1.726520 1.726520
0.250000 1.563576 1.727007 1.727007
0.255000 1.561004 1.727493 1.727493
0.260000 1.558438 1.727977 1.727977
0.265000 1.555877 1.728458 1.728458
0.270000 1.553323 1.728937 1.728937
0.275000 1.550774 1.729415 1.729415
0.280000 1.548231 1.729890 1.729890
0.285000 1.545694 1.730363 1.730363
0.290000 1.543163 1.730834 1.730834
0.295000 1.540637 1.731303 1.731303
0.300000 1.538117 1.731770 1.731770
0.305000 1.535603 1.732235 1.732235
0.310000 1.533094 1.732698 1.732698
0.315000 1.530591 1.733159 1.733159
0.320000 1.528093 1.733618 1.733618
0.325000 1.525602 1.734074 1.734074
0.330000 1.523115 1.734529 1.734529
0.335000 1.520635 1.734982 1.734982
0.340000 1.518160 1.735432 1.735432
0.345000 1.515690 1.735881 1.735881
0.350000 1.513226 1.736328 1.736328
0.355000 1.510768 1.736772 1.736772
0.360000 1.508315 1.737215 1.737215
0.365000 1.505867 1.737655 1.737655
0.370000 1.503425 1.738094 1.738094
0.375000 1.500989 1.738530 1.738530
0.380000 1.498558 1.738965 1.738965
0.385000 1.496132 1.739397 1.739397
0.390000 1.493712 1.739828 1.739828
0.395000 1.491297 1.740256 1.740256
0.400000 1.488888 1.740683 1.740683
0.405000 1.486484 1.741107 1.741107
0.410000 1.484085 1.741530 1.741530
0.415000 1.481691 1.741950 1.741950
0.420000 1.479303 1.742369 1.742369
0.425000 1.476920 1.742785 1.742785
0.430000 1.474543 1.743200 1.743200
0.435000 1.472171 1.743612 1.743612
0.440000 1.469804 1.744023 1.744023
0.445000 1.467442 1.744432 1.744432
0.450000 1.465086 1.744839 1.744839
0.455000 1.462734 1.745243 1.745243
0.460000 1.460388 1.745646 1.745646
0.465000 1.458047 1.746047 1.746047
0.470000 1.455712 1.746446 1.746446
0.475000 1.453381 1.746843 1.746843
0.480000 1.451056 1.747238 1.747238
0.485000 1.448735 1.747631 1.747631
0.490000 1.446420 1.748022 1.748022
0.495000 1.444110 1.748411 1.748411
0.500000 1.441805 1.748799 1.748799
0.505000 1.439505 1.749184 1.749184
0.510000 1.437210 1.749567 1.749567
0.515000 1.434921 1.749949 1.749949
0.520000 1.432636 1.750328 1.750328
0.525000 1.430356 1.750706 1.750706
0.530000 1.428081 1.751082 1.751082
0.535000 1.425811 1.751456 1.751456
0.540000 1.423547 1.751828 1.751828
0.545000 1.421287 1.752198 1.752198
0.550000 1.419032 1.752566 1.752566
0.555000 1.416782 1.752932 1.752932
0.560000 1.414537 1.753296 1.753296
0.565000 1.412297 1.753659 1.753659
0.570000 1.410062 1.754019 1.754019
0.575000 1.407831 1.754378 1.754378
0.580000 1.405606 1.754735 1.754735
0.585000 1.403385 1.755090 1.755090
0.590000 1.401169 1.755443 1.755443
0.595000 1.398958 1.755794 1.755794
0.600000 1.396752 1.756143 1.756143
0.605000 1.394551 1.756491 1.756491
0.610000 1.392354 1.756836 1.756836
0.615000 1.390163 1.757180 1.757180
0.620000 1.387976 1.757522 1.757522
0.625000 1.385793 1.757862 1.757862
0.630000 1.383616 1.758200 1.758200
0.635000 1.381443 1.758537 1.758537
0.640000 1.379275 1.758871 1.758871
0.645000 1.377111 1.759204 1.759204
0.650000 1.374953 1.759534 1.759534
0.655000 1.372799 1.759863 1.759863
0.660000 1.370649 1.760190 1.760190
0.665000 1.368505 1.760516 1.760516
0.670000 1.366364 1.760839 1.760839
0.675000 1.364229 1.761161 1.761161
0.680000 1.362098 1.761481 1.761481
0.685000 1.359972 1.761799 1.761799
0.690000 1.357850 1.762115 1.762115
0.695000 1.355733 1.762429 1.762429
0.700000 1.353620 1.762742 1.762742
0.705000 1.351512 1.763053 1.763053
0.710000 1.349409 1.763362 1.763362
0.715000 1.347310 1.763669 1.763669
0.720000 1.345216 1.763974 1.763974
0.725000 1.343126 1.764278 1.764278
0.730000 1.341040 1.764580 1.764580
0.735000 1.338959 1.764880 1.764880
0.740000 1.336883 1.765178 1.765178
0.745000 1.334811 1.765474 1.765474
0.750000 1.332743 1.765769 1.765769
