#time	prey_t	predator_t
0.000000 1.000000 2.000000
0.005000 1.000000 2.000000
0.010000 1.000000 2.000000
0.015000 1.000000 2.000000
0.020000 1.000000 2.000000
0.025000 1.000000 2.000000
0.030000 1.000000 2.000000
0.035000 1.000000 2.000000
0.040000 1.000000 2.000000
0.045000 1.000000 2.000000
0.050000 1.000000 2.000000
0.055000 1.000000 2.000000
0.060000 1.000000 2.000000
0.065000 1.000000 2.000000
0.070000 1.000000 2.000000
0.075000 1.000000 2.000000
0.080000 1.000000 2.000000
0.085000 1.000000 2.000000
0.090000 1.000000 2.000000
0.095000 1.000000 2.000000
0.100000 1.000000 2.000000
0.105000 1.000000 2.000000
0.110000 1.000000 2.000000
0.115000 1.000000 2.000000
0.120000 1.000000 2.000000
0.125000 1.000000 2.000000
0.130000 1.000000 2.000000
0.135000 1.000000 2.000000
0.140000 1.000000 2.000000
0.145000 1.000000 2.000000
0.150000 1.000000 2.000000
0.155000 1.000000 2.000000
0.160000 1.000000 2.000000
0.165000 1.000000 2.000000
0.170000 1.000000 2.000000
0.175000 1.000000 2.000000
0.180000 1.000000 2.000000
0.185000 1.000000 2.000000
0.190000 1.000000 2.000000
0.195000 1.000000 2.000000
0.200000 1.000000 2.000000
0.205000 1.000000 2.000000
0.210000 1.000000 2.000000
0.215000 1.000000 2.000000
0.220000 1.000000 2.000000
0.225000 1.000000 2.000000
0.230000 1.000000 2.000000
0.235000 1.000000 2.000000
0.240000 1.000000 2.000000
0.245000 1.000000 2.000000
0.250000 1.000000 2.000000
0.255000 1.000000 2.000000
0.260000 1.000000 2.000000
0.265000 1.000000 2.000000
0.270000 1.000000 2.000000
0.275000 1.000000 2.000000
0.280000 1.000000 2.000000
0.285000 1.000000 2.000000
0.290000 1.000000 2.000000
0.295000 1.000000 2.000000
0.300000 1.000000 2.000000
0.305000 1.000000 2.000000
0.310000 1.000000 2.000000
0.315000 1.000000 2.000000
0.320000 1.000000 2.000000
0.325000 1.000000 2.000000
0.330000 1.000000 2.000000
0.335000 1.000000 2.000000
0.340000 1.000000 2.000000
0.345000 1.000000 2.000000
0.350000 1.000000 2.000000
0.355000 1.000000 2.000000
0.360000 1.000000 2.000000
0.365000 1.000000 2.000000
0.370000 1.000000 2.000000
0.375000 1.000000 2.000000
0.380000 1.000000 2.000000
0.385000 1.000000 2.000000
0.390000 1.000000 2.000000
0.395000 1.000000 2.000000
0.400000 1.000000 2.000000
0.405000 1.000000 2.000000
0.410000 1.000000 2.000000
0.415000 1.000000 2.000000
0.420000 1.000000 2.000000
0.425000 1.000000 2.000000
0.430000 1.000000 2.000000
0.435000 1.000000 2.000000
0.440000 1.000000 2.000000
0.445000 1.000000 2.000000
0.450000 1.000000 2.000000
0.455000 1.000000 2.000000
0.460000 1.000000 2.000000
0.465000 1.000000 2.000000
0.470000 1.000000 2.000000
0.475000 1.000000 2.000000
0.480000 1.000000 2.000000
0.485000 1.000000 2.000000
0.490000 1.000000 2.000000
0.495000 1.000000 2.000000
0.500000 1.000000 2.000000
0.505000 1.000000 2.000000
0.510000 1.000000 2.000000
0.515000 1.000000 2.000000
0.520000 1.000000 2.000000
0.525000 1.000000 2.000000
0.530000 1.000000 2.000000
0.535000 1.000000 2.000000
0.540000 1.000000 2.000000
0.545000 1.000000 2.000000
0.550000 1.000000 2.000000
0.555000 1.000000 2.000000
0.560000 1.000000 2.000000
0.565000 1.000000 2.000000
0.570000 1.000000 2.000000
0.575000 1.000000 2.000000
0.580000 1.000000 2.000000
0.585000 1.000000 2.000000
0.590000 1.000000 2.000000
0.595000 1.000000 2.000000
0.600000 1.000000 2.000000
0.605000 1.000000 2.000000
0.610000 1.000000 2.000000
0.615000 1.000000 2.000000
0.620000 1.000000 2.000000
0.625000 1.000000 2.000000
0.630000 1.000000 2.000000
0.635000 1.000000 2.000000
0.640000 1.000000 2.000000
0.645000 1.000000 2.000000
0.650000 1.000000 2.000000
0.655000 1.000000 2.000000
0.660000 1.000000 2.000000
0.665000 1.000000 2.000000
0.670000 1.000000 2.000000
0.675000 1.000000 2.000000
0.680000 1.000000 2.000000
0.685000 1.000000 2.000000
0.690000 1.000000 2.000000
0.695000 1.000000 2.000000
0.700000 1.000000 2.000000
0.705000 1.000000 2.000000
0.710000 1.000000 2.000000
0.715000 1.000000 2.000000
0.720000 1.000000 2.000000
0.725000 1.000000 2.000000
0.730000 1.000000 2.000000
0.735000 1.000000 2.000000
0.740000 1.000000 2.000000
0.745000 1.000000 2.000000
0.750000 1.000000 2.000000
0.755000 1.000000 2.000000
0.760000 1.000000 2.000000
0.765000 1.000000 2.000000
0.770000 1.000000 2.000000
0.775000 1.000000 2.000000
0.780000 1.000000 2.000000
0.785000 1.000000 2.000000
0.790000 1.000000 2.000000
0.795000 1.000000 2.000000
0.800000 1.000000 2.000000
0.805000 1.000000 2.000000
0.810000 1.000000 2.000000
0.815000 1.000000 2.000000
0.820000 1.000000 2.000000
0.825000 1.000000 2.000000
0.830000 1.000000 2.000000
0.835000 1.000000 2.000000
0.840000 1.000000 2.000000
0.845000 1.000000 2.000000
0.850000 1.000000 2.000000
0.855000 1.000000 2.000000
0.860000 1.000000 2.000000
0.865000 1.000000 2.000000
0.870000 1.000000 2.000000
0.875000 1.000000 2.000000
0.880000 1.000000 2.000000
0.885000 1.000000 2.000000
0.890000 1.000000 2.000000
0.895000 1.000000 2.000000
0.900000 1.000000 2.000000
0.905000 1.000000 2.000000
0.910000 1.000000 2.000000
0.915000 1.000000 2.000000
0.920000 1.000000 2.000000
0.925000 1.000000 2.000000
0.930000 1.000000 2.000000
0.935000 1.000000 2.000000
0.940000 1.000000 2.000000
0.945000 1.000000 2.000000
0.950000 1.000000 2.000000
0.955000 1.000000 2.000000
0.960000 1.000000 2.000000
0.965000 1.000000 2.000000
0.970000 1.000000 2.000000
0.975000 1.000000 2.000000
0.980000 1.000000 2.000000
0.985000 1.000000 2.000000
0.990000 1.000000 2.000000
0.995000 1.000000 2.000000
1.000000 1.000000 2.000000
1.005000 1.000000 2.000000
1.010000 1.000000 2.000000
1.015000 1.000000 2.000000
1.020000 1.000000 2.000000
1.025000 1.000000 2.000000
1.030000 1.000000 2.000000
1.035000 1.000000 2.000000
1.040000 1.000000 2.000000
1.045000 1.000000 2.000000
1.050000 1.000000 2.000000
1.055000 1.000000 2.000000
1.060000 1.000000 2.000000
1.065000 1.000000 2.000000
1.070000 1.000000 2.000000
1.075000 1.000000 2.000000
1.080000 1.000000 2.000000
1.085000 1.000000 2.000000
1.090000 1.000000 2.000000
1.095000 1.000000 2.000000
1.100000 1.000000 2.000000
1.105000 1.000000 2.000000
1.110000 1.000000 2.000000
1.115000 1.000000 2.000000
1.120000 1.000000 2.000000
1.125000 1.000000 2.000000
1.130000 1.000000 2.000000
1.135000 1.000000 2.000000
1.140000 1.000000 2.000000
1.145000 1.000000 2.000000
1.150000 1.000000 2.000000
1.155000 1.000000 2.000000
1.160000 1.000000 2.000000
1.165000 1.000000 2.000000
1.170000 1.000000 2.000000
1.175000 1.000000 2.000000
1.180000 1.000000 2.000000
1.185000 1.000000 2.000000
1.190000 1.000000 2.000000
1.195000 1.000000 2.000000
1.200000 1.000000 2.000000
1.205000 1.000000 2.000000
1.210000 1.000000 2.000000
1.215000 1.000000 2.000000
1.220000 1.000000 2.000000
1.225000 1.000000 2.000000
1.230000 1.000000 2.000000
1.235000 1.000000 2.000000
1.240000 1.000000 2.000000
1.245000 1.000000 2.000000
1.250000 1.000000 2.000000
1.255000 1.000000 2.000000
1.260000 1.000000 2.000000
1.265000 1.000000 2.000000
1.270000 1.000000 2.000000
1.275000 1.000000 2.000000
1.280000 1.000000 2.000000
1.285000 1.000000 2.000000
1.290000 1.000000 2.000000
1.295000 1.000000 2.000000
1.300000 1.000000 2.000000
1.305000 1.000000 2.000000
1.310000 1.000000 2.000000
1.315000 1.000000 2.000000
1.320000 1.000000 2.000000
1.325000 1.000000 2.000000
1.330000 1.000000 2.000000
1.335000 1.000000 2.000000
1.340000 1.000000 2.000000
1.345000 1.000000 2.000000
1.350000 1.000000 2.000000
1.355000 1.000000 2.000000
1.360000 1.000000 2.000000
1.365000 1.000000 2.000000
1.370000 1.000000 2.000000
1.375000 1.000000 2.000000
1.380000 1.000000 2.000000
1.385000 1.000000 2.000000
1.390000 1.000000 2.000000
1.395000 1.000000 2.000000
1.400000 1.000000 2.000000
1.405000 1.000000 2.000000
1.410000 1.000000 2.000000
1.415000 1.000000 2.000000
1.420000 1.000000 2.000000
1.425000 1.000000 2.000000
1.430000 1.000000 2.000000
1.435000 1.000000 2.000000
1.440000 1.000000 2.000000
1.445000 1.000000 2.000000
1.450000 1.000000 2.000000
1.455000 1.000000 2.000000
1.460000 1.000000 2.000000
1.465000 1.000000 2.000000
1.470000 1.000000 2.000000
1.475000 1.000000 2.000000
1.480000 1.000000 2.000000
1.485000 1.000000 2.000000
1.490000 1.000000 2.000000
1.495000 1.000000 2.000000
1.500000 1.000000 2.000000
1.505000 1.000000 2.000000
1.510000 1.000000 2.000000
1.515000 1.000000 2.000000
1.520000 1.000000 2.000000
1.525000 1.000000 2.000000
1.530000 1.000000 2.000000
1.535000 1.000000 2.000000
1.540000 1.000000 2.000000
1.545000 1.000000 2.000000
1.550000 1.000000 2.000000
1.555000 1.000000 2.000000
1.560000 1.000000 2.000000
1.565000 1.000000 2.000000
1.570000 1.000000 2.000000
1.575000 1.000000 2.000000
1.580000 1.000000 2.000000
1.585000 1.000000 2.000000
1.590000 1.000000 2.000000
1.595000 1.000000 2.000000
1.600000 1.000000 2.000000
1.605000 1.000000 2.000000
1.610000 1.000000 2.000000
1.615000 1.000000 2.000000
1.620000 1.000000 2.000000
1.625000 1.000000 2.000000
1.630000 1.000000 2.000000
1.635000 1.000000 2.000000
1.640000 1.000000 2.000000
1.645000 1.000000 2.000000
1.650000 1.000000 2.000000
1.655000 1.000000 2.000000
1.660000 1.000000 2.000000
1.665000 1.000000 2.000000
1.670000 1.000000 2.000000
1.675000 1.000000 2.000000
1.680000 1.000000 2.000000
1.685000 1.000000 2.000000
1.690000 1.000000 2.000000
1.695000 1.000000 2.000000
1.700000 1.000000 2.000000
1.705000 1.000000 2.000000
1.710000 1.000000 2.000000
1.715000 1.000000 2.000000
1.720000 1.000000 2.000000
1.725000 1.000000 2.000000
1.730000 1.000000 2.000000
1.735000 1.000000 2.000000
1.740000 1.000000 2.000000
1.745000 1.000000 2.000000
1.750000 1.000000 2.000000
1.755000 1.000000 2.000000
1.760000 1.000000 2.000000
1.765000 1.000000 2.000000
1.770000 1.000000 2.000000
1.775000 1.000000 2.000000
1.780000 1.000000 2.000000
1.785000 1.000000 2.000000
1.790000 1.000000 2.000000
1.795000 1.000000 2.000000
1.800000 1.000000 2.000000
1.805000 1.000000 2.000000
1.810000 1.000000 2.000000
1.815000 1.000000 2.000000
1.820000 1.000000 2.000000
1.825000 1.000000 2.000000
1.830000 1.000000 2.000000
1.835000 1.000000 2.000000
1.840000 1.000000 2.000000
1.845000 1.000000 2.000000
1.850000 1.000000 2.000000
1.855000 1.000000 2.000000
1.860000 1.000000 2.000000
1.865000 1.000000 2.000000
1.870000 1.000000 2.000000
1.875000 1.000000 2.000000
1.880000 1.000000 2.000000
1.885000 1.000000 2.000000
1.890000 1.000000 2.000000
1.895000 1.000000 2.000000
1.900000 1.000000 2.000000
1.905000 1.000000 2.000000
1.910000 1.000000 2.000000
1.915000 1.000000 2.000000
1.920000 1.000000 2.000000
1.925000 1.000000 2.000000
1.930000 1.000000 2.000000
1.935000 1.000000 2.000000
1.940000 1.000000 2.000000
1.945000 1.000000 2.000000
1.950000 1.000000 2.000000
1.955000 1.000000 2.000000
1.960000 1.000000 2.000000
1.965000 1.000000 2.000000
1.970000 1.000000 2.000000
1.975000 1.000000 2.000000
1.980000 1.000000 2.000000
1.985000 1.000000 2.000000
1.990000 1.000000 2.000000
1.995000 1.000000 2.000000
2.000000 1.000000 2.000000
2.005000 1.000000 2.000000
2.010000 1.000000 2.000000
2.015000 1.000000 2.000000
2.020000 1.000000 2.000000
2.025000 1.000000 2.000000
2.030000 1.000000 2.000000
2.035000 1.000000 2.000000
2.040000 1.000000 2.000000
2.045000 1.000000 2.000000
2.050000 1.000000 2.000000
2.055000 1.000000 2.000000
2.060000 1.000000 2.000000
2.065000 1.000000 2.000000
2.070000 1.000000 2.000000
2.075000 1.000000 2.000000
2.080000 1.000000 2.000000
2.085000 1.000000 2.000000
2.090000 1.000000 2.000000
2.095000 1.000000 2.000000
2.100000 1.000000 2.000000
2.105000 1.000000 2.000000
2.110000 1.000000 2.000000
2.115000 1.000000 2.000000
2.120000 1.000000 2.000000
2.125000 1.000000 2.000000
2.130000 1.000000 2.000000
2.135000 1.000000 2.000000
2.140000 1.000000 2.000000
2.145000 1.000000 2.000000
2.150000 1.000000 2.000000
2.155000 1.000000 2.000000
2.160000 1.000000 2.000000
2.165000 1.000000 2.000000
2.170000 1.000000 2.000000
2.175000 1.000000 2.000000
2.180000 1.000000 2.000000
2.185000 1.000000 2.000000
2.190000 1.000000 2.000000
2.195000 1.000000 2.000000
2.200000 1.000000 2.000000
2.205000 1.000000 2.000000
2.210000 1.000000 2.000000
2.215000 1.000000 2.000000
2.220000 1.000000 2.000000
2.225000 1.000000 2.000000
2.230000 1.000000 2.000000
2.235000 1.000000 2.000000
2.240000 1.000000 2.000000
2.245000 1.000000 2.000000
2.250000 1.000000 2.000000
2.255000 1.000000 2.000000
2.260000 1.000000 2.000000
2.265000 1.000000 2.000000
2.270000 1.000000 2.000000
2.275000 1.000000 2.000000
2.280000 1.000000 2.000000
2.285000 1.000000 2.000000
2.290000 1.000000 2.000000
2.295000 1.000000 2.000000
2.300000 1.000000 2.000000
2.305000 1.000000 2.000000
2.310000 1.000000 2.000000
2.315000 1.000000 2.000000
2.320000 1.000000 2.000000
2.325000 1.000000 2.000000
2.330000 1.000000 2.000000
2.335000 1.000000 2.000000
2.340000 1.000000 2.000000
2.345000 1.000000 2.000000
2.350000 1.000000 2.000000
2.355000 1.000000 2.000000
2.360000 1.000000 2.000000
2.365000 1.000000 2.000000
2.370000 1.000000 2.000000
2.375000 1.000000 2.000000
2.380000 1.000000 2.000000
2.385000 1.000000 2.000000
2.390000 1.000000 2.000000
2.395000 1.000000 2.000000
2.400000 1.000000 2.000000
2.405000 1.000000 2.000000
2.410000 1.000000 2.000000
2.415000 1.000000 2.000000
2.420000 1.000000 2.000000
2.425000 1.000000 2.000000
2.430000 1.000000 2.000000
2.435000 1.000000 2.000000
2.440000 1.000000 2.000000
2.445000 1.000000 2.000000
2.450000 1.000000 2.000000
2.455000 1.000000 2.000000
2.460000 1.000000 2.000000
2.465000 1.000000 2.000000
2.470000 1.000000 2.000000
2.475000 1.000000 2.000000
2.480000 1.000000 2.000000
2.485000 1.000000 2.000000
2.490000 1.000000 2.000000
2.495000 1.000000 2.000000
2.500000 1.000000 2.000000
2.505000 1.000000 2.000000
2.510000 1.000000 2.000000
2.515000 1.000000 2.000000
2.520000 1.000000 2.000000
2.525000 1.000000 2.000000
2.530000 1.000000 2.000000
2.535000 1.000000 2.000000
2.540000 1.000000 2.000000
2.545000 1.000000 2.000000
2.550000 1.000000 2.000000
2.555000 1.000000 2.000000
2.560000 1.000000 2.000000
2.565000 1.000000 2.000000
2.570000 1.000000 2.000000
2.575000 1.000000 2.000000
2.580000 1.000000 2.000000
2.585000 1.000000 2.000000
2.590000 1.000000 2.000000
2.595000 1.000000 2.000000
2.600000 1.000000 2.000000
2.605000 1.000000 2.000000
2.610000 1.000000 2.000000
2.615000 1.000000 2.000000
2.620000 1.000000 2.000000
2.625000 1.000000 2.000000
2.630000 1.000000 2.000000
2.635000 1.000000 2.000000
2.640000 1.000000 2.000000
2.645000 1.000000 2.000000
2.650000 1.000000 2.000000
2.655000 1.000000 2.000000
2.660000 1.000000 2.000000
2.665000 1.000000 2.000000
2.670000 1.000000 2.000000
2.675000 1.000000 2.000000
2.680000 1.000000 2.000000
2.685000 1.000000 2.000000
2.690000 1.000000 2.000000
2.695000 1.000000 2.000000
2.700000 1.000000 2.000000
2.705000 1.000000 2.000000
2.710000 1.000000 2.000000
2.715000 1.000000 2.000000
2.720000 1.000000 2.000000
2.725000 1.000000 2.000000
2.730000 1.000000 2.000000
2.735000 1.000000 2.000000
2.740000 1.000000 2.000000
2.745000 1.000000 2.000000
2.750000 1.000000 2.000000
2.755000 1.000000 2.000000
2.760000 1.000000 2.000000
2.765000 1.000000 2.000000
2.770000 1.000000 2.000000
2.775000 1.000000 2.000000
2.780000 1.000000 2.000000
2.785000 1.000000 2.000000
2.790000 1.000000 2.000000
2.795000 1.000000 2.000000
2.800000 1.000000 2.000000
2.805000 1.000000 2.000000
2.810000 1.000000 2.000000
2.815000 1.000000 2.000000
2.820000 1.000000 2.000000
2.825000 1.000000 2.000000
2.830000 1.000000 2.000000
2.835000 1.000000 2.000000
2.840000 1.000000 2.000000
2.845000 1.000000 2.000000
2.850000 1.000000 2.000000
2.855000 1.000000 2.000000
2.860000 1.000000 2.000000
2.865000 1.000000 2.000000
2.870000 1.000000 2.000000
2.875000 1.000000 2.000000
2.880000 1.000000 2.000000
2.885000 1.000000 2.000000
2.890000 1.000000 2.000000
2.895000 1.000000 2.000000
2.900000 1.000000 2.000000
2.905000 1.000000 2.000000
2.910000 1.000000 2.000000
2.915000 1.000000 2.000000
2.920000 1.000000 2.000000
2.925000 1.000000 2.000000
2.930000 1.000000 2.000000
2.935000 1.000000 2.000000
2.940000 1.000000 2.000000
2.945000 1.000000 2.000000
2.950000 1.000000 2.000000
2.955000 1.000000 2.000000
2.960000 1.000000 2.000000
2.965000 1.000000 2.000000
2.970000 1.000000 2.000000
2.975000 1.000000 2.000000
2.980000 1.000000 2.000000
2.985000 1.000000 2.000000
2.990000 1.000000 2.000000
2.995000 1.000000 2.000000
3.000000 1.000000 2.000000
3.005000 1.000000 2.000000
3.010000 1.000000 2.000000
3.015000 1.000000 2.000000
3.020000 1.000000 2.000000
3.025000 1.000000 2.000000
3.030000 1.000000 2.000000
3.035000 1.000000 2.000000
3.040000 1.000000 2.000000
3.045000 1.000000 2.000000
3.050000 1.000000 2.000000
3.055000 1.000000 2.000000
3.060000 1.000000 2.000000
3.065000 1.000000 2.000000
3.070000 1.000000 2.000000
3.075000 1.000000 2.000000
3.080000 1.000000 2.000000
3.085000 1.000000 2.000000
3.090000 1.000000 2.000000
3.095000 1.000000 2.000000
3.100000 1.000000 2.000000
3.105000 1.000000 2.000000
3.110000 1.000000 2.000000
3.115000 1.000000 2.000000
3.120000 1.000000 2.000000
3.125000 1.000000 2.000000
3.130000 1.000000 2.000000
3.135000 1.000000 2.000000
3.140000 1.000000 2.000000
3.145000 1.000000 2.000000
3.150000 1.000000 2.000000
3.155000 1.000000 2.000000
3.160000 1.000000 2.000000
3.165000 1.000000 2.000000
3.170000 1.000000 2.000000
3.175000 1.000000 2.000000
3.180000 1.000000 2.000000
3.185000 1.000000 2.000000
3.190000 1.000000 2.000000
3.195000 1.000000 2.000000
3.200000 1.000000 2.000000
3.205000 1.000000 2.000000
3.210000 1.000000 2.000000
