#time	ya(t)	yb(t)
0.000000 100.000000 0.140000
0.005000 100.050013 0.139940
0.010000 100.100050 0.139880
0.015000 100.150113 0.139820
0.020000 100.200200 0.139761
0.025000 100.250313 0.139701
0.030000 100.300450 0.139642
0.035000 100.350613 0.139582
0.040000 100.400801 0.139523
0.045000 100.451014 0.139464
0.050000 100.501252 0.139404
0.055000 100.551515 0.139345
0.060000 100.601804 0.139286
0.065000 100.652117 0.139228
0.070000 100.702456 0.139169
0.075000 100.752820 0.139110
0.080000 100.803209 0.139051
0.085000 100.853623 0.138993
0.090000 100.904062 0.138934
0.095000 100.954527 0.138876
0.100000 101.005017 0.138818
0.105000 101.055532 0.138760
0.110000 101.106072 0.138702
0.115000 101.156638 0.138644
0.120000 101.207229 0.138586
0.125000 101.257845 0.138528
0.130000 101.308487 0.138470
0.135000 101.359154 0.138412
0.140000 101.409846 0.138355
0.145000 101.460563 0.138297
0.150000 101.511306 0.138240
0.155000 101.562075 0.138183
0.160000 101.612869 0.138125
0.165000 101.663688 0.138068
0.170000 101.714532 0.138011
0.175000 101.765402 0.137954
0.180000 101.816298 0.137897
0.185000 101.867219 0.137840
0.190000 101.918165 0.137784
0.195000 101.969137 0.137727
0.200000 102.020134 0.137671
0.205000 102.071157 0.137614
0.210000 102.122205 0.137558
0.215000 102.173279 0.137501
0.220000 102.224378 0.137445
0.225000 102.275503 0.137389
0.230000 102.326654 0.137333
0.235000 102.377830 0.137277
0.240000 102.429032 0.137221
0.245000 102.480259 0.137165
0.250000 102.531512 0.137110
0.255000 102.582791 0.137054
0.260000 102.634095 0.136999
0.265000 102.685425 0.136943
0.270000 102.736780 0.136888
0.275000 102.788162 0.136832
0.280000 102.839568 0.136777
0.285000 102.891001 0.136722
0.290000 102.942459 0.136667
0.295000 102.993944 0.136612
0.300000 103.045453 0.136557
0.305000 103.096989 0.136502
0.310000 103.148550 0.136448
0.315000 103.200138 0.136393
0.320000 103.251751 0.136339
0.325000 103.303389 0.136284
0.330000 103.355054 0.136230
0.335000 103.406744 0.136175
0.340000 103.458461 0.136121
0.345000 103.510203 0.136067
0.350000 103.561971 0.136013
0.355000 103.613765 0.135959
0.360000 103.665585 0.135905
0.365000 103.717430 0.135851
0.370000 103.769302 0.135798
0.375000 103.821200 0.135744
0.380000 103.873123 0.135690
0.385000 103.925073 0.135637
0.390000 103.977048 0.135583
0.395000 104.029050 0.135530
0.400000 104.081077 0.135477
0.405000 104.133131 0.135424
0.410000 104.185211 0.135371
0.415000 104.237316 0.135318
0.420000 104.289448 0.135265
0.425000 104.341606 0.135212
0.430000 104.393789 0.135159
0.435000 104.445999 0.135106
0.440000 104.498235 0.135054
0.445000 104.550498 0.135001
0.450000 104.602786 0.134949
0.455000 104.655100 0.134896
0.460000 104.707441 0.134844
0.465000 104.759808 0.134792
0.470000 104.812201 0.134740
0.475000 104.864620 0.134688
0.480000 104.917066 0.134636
0.485000 104.969537 0.134584
0.490000 105.022035 0.134532
0.495000 105.074559 0.134480
0.500000 105.127110 0.134428
0.505000 105.179686 0.134377
0.510000 105.232289 0.134325
0.515000 105.284919 0.134274
0.520000 105.337574 0.134222
0.525000 105.390256 0.134171
0.530000 105.442965 0.134120
0.535000 105.495699 0.134069
0.540000 105.548460 0.134018
0.545000 105.601248 0.133967
0.550000 105.654061 0.133916
0.555000 105.706902 0.133865
0.560000 105.759768 0.133814
0.565000 105.812661 0.133763
0.570000 105.865581 0.133713
0.575000 105.918527 0.133662
0.580000 105.971500 0.133612
0.585000 106.024499 0.133561
0.590000 106.077524 0.133511
0.595000 106.130576 0.133461
0.600000 106.183655 0.133411
0.605000 106.236760 0.133361
0.610000 106.289891 0.133311
0.615000 106.343050 0.133261
0.620000 106.396234 0.133211
0.625000 106.449446 0.133161
0.630000 106.502684 0.133111
0.635000 106.555949 0.133062
0.640000 106.609240 0.133012
0.645000 106.662558 0.132963
0.650000 106.715902 0.132913
0.655000 106.769274 0.132864
0.660000 106.822672 0.132815
0.665000 106.876096 0.132766
0.670000 106.929548 0.132716
0.675000 106.983026 0.132667
0.680000 107.036531 0.132618
0.685000 107.090062 0.132570
0.690000 107.143621 0.132521
0.695000 107.197206 0.132472
0.700000 107.250818 0.132423
0.705000 107.304457 0.132375
0.710000 107.358123 0.132326
0.715000 107.411815 0.132278
0.720000 107.465534 0.132229
0.725000 107.519281 0.132181
0.730000 107.573054 0.132133
0.735000 107.626854 0.132085
0.740000 107.680681 0.132037
0.745000 107.734534 0.131989
0.750000 107.788415 0.131941
0.755000 107.842323 0.131893
0.760000 107.896257 0.131845
0.765000 107.950219 0.131797
0.770000 108.004208 0.131750
0.775000 108.058223 0.131702
0.780000 108.112266 0.131654
0.785000 108.166336 0.131607
0.790000 108.220432 0.131560
0.795000 108.274556 0.131512
0.800000 108.328707 0.131465
0.805000 108.382885 0.131418
0.810000 108.437090 0.131371
0.815000 108.491322 0.131324
0.820000 108.545581 0.131277
0.825000 108.599867 0.131230
0.830000 108.654181 0.131183
0.835000 108.708522 0.131136
0.840000 108.762889 0.131090
0.845000 108.817284 0.131043
0.850000 108.871707 0.130997
0.855000 108.926156 0.130950
0.860000 108.980633 0.130904
0.865000 109.035137 0.130857
0.870000 109.089668 0.130811
0.875000 109.144226 0.130765
0.880000 109.198812 0.130719
0.885000 109.253425 0.130673
0.890000 109.308066 0.130627
0.895000 109.362733 0.130581
0.900000 109.417428 0.130535
0.905000 109.472151 0.130489
0.910000 109.526901 0.130444
0.915000 109.581678 0.130398
0.920000 109.636482 0.130353
0.925000 109.691314 0.130307
0.930000 109.746174 0.130262
0.935000 109.801060 0.130216
0.940000 109.855975 0.130171
0.945000 109.910916 0.130126
0.950000 109.965886 0.130081
0.955000 110.020882 0.130035
0.960000 110.075906 0.129990
0.965000 110.130958 0.129946
0.970000 110.186037 0.129901
0.975000 110.241144 0.129856
0.980000 110.296279 0.129811
0.985000 110.351440 0.129766
0.990000 110.406630 0.129722
0.995000 110.461847 0.129677
1.000000 110.517092 0.129633
1.005000 110.572364 0.129588
1.010000 110.627664 0.129544
1.015000 110.682992 0.129500
1.020000 110.738347 0.129455
1.025000 110.793730 0.129411
1.030000 110.849141 0.129367
1.035000 110.904579 0.129323
1.040000 110.960045 0.129279
1.045000 111.015539 0.129235
1.050000 111.071061 0.129192
1.055000 111.126610 0.129148
1.060000 111.182188 0.129104
1.065000 111.237793 0.129060
1.070000 111.293425 0.129017
1.075000 111.349086 0.128973
1.080000 111.404775 0.128930
1.085000 111.460491 0.128887
1.090000 111.516235 0.128843
1.095000 111.572007 0.128800
1.100000 111.627807 0.128757
1.105000 111.683635 0.128714
1.110000 111.739491 0.128671
1.115000 111.795374 0.128628
1.120000 111.851286 0.128585
1.125000 111.907226 0.128542
1.130000 111.963193 0.128499
1.135000 112.019189 0.128457
1.140000 112.075212 0.128414
1.145000 112.131264 0.128371
1.150000 112.187344 0.128329
1.155000 112.243451 0.128286
1.160000 112.299587 0.128244
1.165000 112.355751 0.128202
1.170000 112.411943 0.128159
1.175000 112.468163 0.128117
1.180000 112.524411 0.128075
1.185000 112.580687 0.128033
1.190000 112.636992 0.127991
1.195000 112.693324 0.127949
1.200000 112.749685 0.127907
1.205000 112.806074 0.127865
1.210000 112.862491 0.127823
1.215000 112.918937 0.127782
1.220000 112.975410 0.127740
1.225000 113.031912 0.127699
1.230000 113.088442 0.127657
1.235000 113.145000 0.127616
1.240000 113.201587 0.127574
1.245000 113.258202 0.127533
1.250000 113.314845 0.127492
1.255000 113.371517 0.127450
1.260000 113.428217 0.127409
1.265000 113.484945 0.127368
1.270000 113.541702 0.127327
1.275000 113.598487 0.127286
1.280000 113.655300 0.127245
1.285000 113.712142 0.127204
1.290000 113.769012 0.127164
1.295000 113.825911 0.127123
1.300000 113.882838 0.127082
1.305000 113.939794 0.127042
1.310000 113.996778 0.127001
