#time	prey_t	predator_t
0.000000 2.000000 1.300000
0.005000 2.000500 1.300650
0.010000 2.000999 1.301301
0.015000 2.001497 1.301953
0.020000 2.001995 1.302605
0.025000 2.002493 1.303258
0.030000 2.002990 1.303912
0.035000 2.003486 1.304566
0.040000 2.003982 1.305221
0.045000 2.004477 1.305876
0.050000 2.004971 1.306533
0.055000 2.005465 1.307189
0.060000 2.005958 1.307847
0.065000 2.006451 1.308505
0.070000 2.006943 1.309164
0.075000 2.007435 1.309823
0.080000 2.007926 1.310483
0.085000 2.008416 1.311144
0.090000 2.008906 1.311806
0.095000 2.009395 1.312468
0.100000 2.009884 1.313130
0.105000 2.010372 1.313794
0.110000 2.010859 1.314458
0.115000 2.011346 1.315122
0.120000 2.011832 1.315788
0.125000 2.012317 1.316454
0.130000 2.012802 1.317120
0.135000 2.013287 1.317788
0.140000 2.013771 1.318456
0.145000 2.014254 1.319124
0.150000 2.014736 1.319794
0.155000 2.015218 1.320464
0.160000 2.015700 1.321134
0.165000 2.016180 1.321806
0.170000 2.016661 1.322477
0.175000 2.017140 1.323150
0.180000 2.017619 1.323823
0.185000 2.018097 1.324497
0.190000 2.018575 1.325172
0.195000 2.019052 1.325847
0.200000 2.019528 1.326523
0.205000 2.020004 1.327199
0.210000 2.020479 1.327877
0.215000 2.020954 1.328554
0.220000 2.021428 1.329233
0.225000 2.021901 1.329912
0.230000 2.022374 1.330592
0.235000 2.022846 1.331273
0.240000 2.023318 1.331954
0.245000 2.023788 1.332636
0.250000 2.024259 1.333318
0.255000 2.024728 1.334001
0.260000 2.025197 1.334685
0.265000 2.025665 1.335370
0.270000 2.026133 1.336055
0.275000 2.026600 1.336741
0.280000 2.027067 1.337427
0.285000 2.027532 1.338114
0.290000 2.027997 1.338802
0.295000 2.028462 1.339490
0.300000 2.028926 1.340180
0.305000 2.029389 1.340869
0.310000 2.029852 1.341560
0.315000 2.030313 1.342251
0.320000 2.030775 1.342943
0.325000 2.031235 1.343635
0.330000 2.031695 1.344328
0.335000 2.032155 1.345022
0.340000 2.032613 1.345717
0.345000 2.033072 1.346412
0.350000 2.033529 1.347108
0.355000 2.033986 1.347804
0.360000 2.034442 1.348501
0.365000 2.034897 1.349199
0.370000 2.035352 1.349898
0.375000 2.035806 1.350597
0.380000 2.036260 1.351296
0.385000 2.036712 1.351997
0.390000 2.037165 1.352698
0.395000 2.037616 1.353400
