#time	prey_t	predator_t
0.000000 2.000000 1.300000
0.005000 2.000693 1.300629
0.010000 2.001386 1.301258
0.015000 2.002078 1.301888
0.020000 2.002770 1.302518
0.025000 2.003462 1.303148
0.030000 2.004153 1.303779
0.035000 2.004843 1.304410
0.040000 2.005534 1.305041
0.045000 2.006224 1.305672
0.050000 2.006913 1.306304
0.055000 2.007602 1.306936
0.060000 2.008291 1.307568
0.065000 2.008980 1.308201
0.070000 2.009668 1.308834
0.075000 2.010355 1.309467
0.080000 2.011042 1.310101
0.085000 2.011729 1.310735
0.090000 2.012415 1.311369
0.095000 2.013101 1.312003
0.100000 2.013787 1.312638
0.105000 2.014472 1.313273
0.110000 2.015157 1.313908
0.115000 2.015841 1.314544
0.120000 2.016525 1.315180
0.125000 2.017208 1.315816
0.130000 2.017891 1.316453
0.135000 2.018574 1.317090
0.140000 2.019256 1.317727
0.145000 2.019938 1.318365
0.150000 2.020619 1.319002
0.155000 2.021300 1.319641
0.160000 2.021981 1.320279
0.165000 2.022661 1.320918
0.170000 2.023341 1.321557
0.175000 2.024020 1.322196
0.180000 2.024699 1.322836
0.185000 2.025378 1.323476
0.190000 2.026056 1.324116
0.195000 2.026733 1.324757
0.200000 2.027410 1.325398
0.205000 2.028087 1.326039
0.210000 2.028764 1.326680
0.215000 2.029439 1.327322
0.220000 2.030115 1.327964
0.225000 2.030790 1.328607
0.230000 2.031465 1.329249
0.235000 2.032139 1.329892
0.240000 2.032813 1.330536
0.245000 2.033486 1.331179
0.250000 2.034159 1.331823
0.255000 2.034831 1.332468
0.260000 2.035503 1.333112
0.265000 2.036175 1.333757
0.270000 2.036846 1.334402
0.275000 2.037517 1.335048
0.280000 2.038187 1.335693
0.285000 2.038857 1.336340
0.290000 2.039526 1.336986
0.295000 2.040195 1.337633
0.300000 2.040864 1.338280
0.305000 2.041532 1.338927
0.310000 2.042200 1.339575
0.315000 2.042867 1.340223
0.320000 2.043534 1.340871
0.325000 2.044200 1.341520
0.330000 2.044866 1.342169
0.335000 2.045531 1.342818
0.340000 2.046196 1.343467
0.345000 2.046861 1.344117
0.350000 2.047525 1.344767
0.355000 2.048188 1.345418
0.360000 2.048851 1.346069
0.365000 2.049514 1.346720
0.370000 2.050176 1.347371
0.375000 2.050838 1.348023
0.380000 2.051499 1.348675
0.385000 2.052160 1.349327
0.390000 2.052821 1.349980
0.395000 2.053481 1.350633
0.400000 2.054140 1.351286
0.405000 2.054799 1.351939
0.410000 2.055458 1.352593
0.415000 2.056116 1.353248
0.420000 2.056773 1.353902
0.425000 2.057431 1.354557
0.430000 2.058087 1.355212
0.435000 2.058744 1.355868
0.440000 2.059399 1.356523
0.445000 2.060055 1.357179
0.450000 2.060710 1.357836
0.455000 2.061364 1.358492
0.460000 2.062018 1.359149
0.465000 2.062671 1.359807
0.470000 2.063324 1.360464
0.475000 2.063977 1.361122
0.480000 2.064629 1.361781
0.485000 2.065280 1.362439
0.490000 2.065931 1.363098
0.495000 2.066582 1.363757
0.500000 2.067232 1.364417
0.505000 2.067882 1.365077
0.510000 2.068531 1.365737
0.515000 2.069179 1.366397
0.520000 2.069828 1.367058
0.525000 2.070475 1.367719
0.530000 2.071122 1.368381
0.535000 2.071769 1.369043
0.540000 2.072415 1.369705
0.545000 2.073061 1.370367
0.550000 2.073706 1.371030
0.555000 2.074351 1.371693
0.560000 2.074995 1.372356
0.565000 2.075639 1.373020
0.570000 2.076283 1.373684
0.575000 2.076925 1.374348
0.580000 2.077568 1.375013
0.585000 2.078210 1.375677
0.590000 2.078851 1.376343
0.595000 2.079492 1.377008
0.600000 2.080132 1.377674
0.605000 2.080772 1.378340
0.610000 2.081411 1.379007
0.615000 2.082050 1.379674
0.620000 2.082688 1.380341
0.625000 2.083326 1.381008
0.630000 2.083964 1.381676
0.635000 2.084600 1.382344
0.640000 2.085237 1.383012
0.645000 2.085873 1.383681
0.650000 2.086508 1.384350
0.655000 2.087143 1.385020
0.660000 2.087777 1.385689
0.665000 2.088411 1.386359
0.670000 2.089044 1.387030
0.675000 2.089677 1.387700
0.680000 2.090309 1.388371
0.685000 2.090941 1.389043
0.690000 2.091572 1.389714
0.695000 2.092203 1.390386
0.700000 2.092833 1.391058
0.705000 2.093463 1.391731
0.710000 2.094092 1.392404
0.715000 2.094721 1.393077
0.720000 2.095349 1.393751
0.725000 2.095977 1.394424
0.730000 2.096604 1.395099
0.735000 2.097230 1.395773
0.740000 2.097856 1.396448
0.745000 2.098482 1.397123
0.750000 2.099107 1.397799
0.755000 2.099732 1.398474
0.760000 2.100356 1.399150
0.765000 2.100979 1.399827
0.770000 2.101602 1.400504
0.775000 2.102224 1.401181
0.780000 2.102846 1.401858
0.785000 2.103468 1.402536
0.790000 2.104088 1.403214
0.795000 2.104709 1.403892
0.800000 2.105328 1.404571
0.805000 2.105948 1.405250
0.810000 2.106566 1.405929
0.815000 2.107184 1.406609
0.820000 2.107802 1.407289
0.825000 2.108419 1.407969
0.830000 2.109036 1.408650
0.835000 2.109652 1.409331
0.840000 2.110267 1.410012
0.845000 2.110882 1.410694
0.850000 2.111496 1.411376
0.855000 2.112110 1.412058
0.860000 2.112723 1.412741
0.865000 2.113336 1.413424
0.870000 2.113948 1.414107
0.875000 2.114560 1.414790
0.880000 2.115171 1.415474
0.885000 2.115782 1.416159
0.890000 2.116392 1.416843
0.895000 2.117001 1.417528
0.900000 2.117610 1.418213
