#time	prey_t	predator_t
0.000000 2.000000 1.300000
0.005000 1.989249 1.298534
0.010000 1.978504 1.297060
0.015000 1.967764 1.295579
0.020000 1.957029 1.294091
0.025000 1.946299 1.292595
0.030000 1.935575 1.291091
0.035000 1.924856 1.289580
0.040000 1.914143 1.288061
0.045000 1.903436 1.286534
0.050000 1.892735 1.284999
0.055000 1.882039 1.283457
0.060000 1.871350 1.281907
0.065000 1.860666 1.280348
0.070000 1.849989 1.278782
0.075000 1.839318 1.277207
0.080000 1.828654 1.275625
0.085000 1.817996 1.274034
0.090000 1.807344 1.272434
0.095000 1.796700 1.270827
0.100000 1.786062 1.269211
0.105000 1.775431 1.267586
0.110000 1.764807 1.265953
0.115000 1.754190 1.264312
0.120000 1.743581 1.262662
0.125000 1.732978 1.261003
0.130000 1.722384 1.259335
0.135000 1.711796 1.257658
0.140000 1.701217 1.255972
0.145000 1.690645 1.254278
0.150000 1.680081 1.252574
0.155000 1.669525 1.250861
0.160000 1.658977 1.249139
0.165000 1.648437 1.247407
0.170000 1.637906 1.245666
0.175000 1.627383 1.243916
0.180000 1.616869 1.242156
0.185000 1.606363 1.240387
0.190000 1.595866 1.238608
0.195000 1.585378 1.236819
0.200000 1.574899 1.235020
0.205000 1.564429 1.233211
0.210000 1.553969 1.231393
0.215000 1.543518 1.229564
0.220000 1.533076 1.227725
0.225000 1.522644 1.225876
0.230000 1.512222 1.224016
0.235000 1.501810 1.222146
0.240000 1.491408 1.220265
0.245000 1.481016 1.218374
0.250000 1.470635 1.216472
0.255000 1.460264 1.214559
0.260000 1.449903 1.212636
0.265000 1.439554 1.210701
0.270000 1.429215 1.208755
0.275000 1.418887 1.206798
0.280000 1.408571 1.204830
0.285000 1.398265 1.202850
0.290000 1.387971 1.200859
0.295000 1.377689 1.198856
0.300000 1.367419 1.196842
0.305000 1.357160 1.194815
0.310000 1.346913 1.192777
0.315000 1.336679 1.190727
0.320000 1.326457 1.188664
0.325000 1.316248 1.186589
0.330000 1.306051 1.184502
0.335000 1.295867 1.182402
0.340000 1.285696 1.180290
0.345000 1.275538 1.178165
0.350000 1.265394 1.176027
0.355000 1.255263 1.173876
0.360000 1.245146 1.171712
0.365000 1.235042 1.169535
0.370000 1.224953 1.167344
0.375000 1.214877 1.165140
0.380000 1.204817 1.162922
0.385000 1.194770 1.160690
0.390000 1.184739 1.158445
0.395000 1.174722 1.156185
0.400000 1.164720 1.153911
0.405000 1.154734 1.151623
0.410000 1.144763 1.149320
0.415000 1.134808 1.147003
0.420000 1.124869 1.144670
0.425000 1.114946 1.142323
0.430000 1.105039 1.139961
0.435000 1.095148 1.137583
0.440000 1.085274 1.135190
0.445000 1.075417 1.132781
0.450000 1.065577 1.130357
0.455000 1.055755 1.127916
0.460000 1.045950 1.125460
0.465000 1.036162 1.122987
0.470000 1.026393 1.120497
0.475000 1.016641 1.117991
0.480000 1.006909 1.115468
0.485000 0.997194 1.112928
0.490000 0.987499 1.110370
0.495000 0.977823 1.107795
0.500000 0.968166 1.105203
0.505000 0.958528 1.102592
0.510000 0.948911 1.099964
0.515000 0.939313 1.097317
0.520000 0.929736 1.094651
0.525000 0.920179 1.091967
0.530000 0.910643 1.089264
0.535000 0.901129 1.086542
0.540000 0.891635 1.083800
0.545000 0.882164 1.081039
0.550000 0.872714 1.078257
0.555000 0.863286 1.075456
0.560000 0.853881 1.072634
0.565000 0.844498 1.069791
0.570000 0.835139 1.066928
0.575000 0.825803 1.064043
0.580000 0.816490 1.061136
0.585000 0.807201 1.058208
0.590000 0.797937 1.055258
0.595000 0.788697 1.052286
0.600000 0.779482 1.049291
0.605000 0.770292 1.046272
0.610000 0.761128 1.043231
0.615000 0.751990 1.040166
0.620000 0.742877 1.037077
0.625000 0.733791 1.033964
0.630000 0.724732 1.030826
0.635000 0.715701 1.027664
0.640000 0.706697 1.024476
0.645000 0.697720 1.021262
0.650000 0.688772 1.018023
0.655000 0.679853 1.014757
0.660000 0.670963 1.011464
0.665000 0.662102 1.008145
0.670000 0.653271 1.004797
0.675000 0.644471 1.001422
0.680000 0.635701 0.998018
0.685000 0.626962 0.994585
0.690000 0.618255 0.991124
0.695000 0.609579 0.987632
0.700000 0.600936 0.984110
0.705000 0.592326 0.980558
0.710000 0.583749 0.976975
0.715000 0.575206 0.973359
0.720000 0.566697 0.969712
0.725000 0.558222 0.966032
0.730000 0.549783 0.962319
0.735000 0.541380 0.958572
0.740000 0.533013 0.954791
0.745000 0.524682 0.950975
0.750000 0.516389 0.947124
0.755000 0.508133 0.943236
0.760000 0.499916 0.939312
0.765000 0.491738 0.935351
0.770000 0.483599 0.931352
0.775000 0.475500 0.927314
0.780000 0.467442 0.923237
0.785000 0.459425 0.919119
0.790000 0.451450 0.914962
0.795000 0.443518 0.910762
0.800000 0.435628 0.906521
0.805000 0.427783 0.902236
0.810000 0.419982 0.897908
0.815000 0.412226 0.893536
0.820000 0.404516 0.889118
0.825000 0.396852 0.884653
0.830000 0.389236 0.880142
0.835000 0.381668 0.875582
0.840000 0.374149 0.870974
0.845000 0.366679 0.866315
0.850000 0.359260 0.861606
0.855000 0.351891 0.856845
0.860000 0.344575 0.852030
0.865000 0.337312 0.847162
0.870000 0.330103 0.842239
0.875000 0.322948 0.837259
0.880000 0.315849 0.832223
0.885000 0.308806 0.827127
0.890000 0.301821 0.821972
0.895000 0.294894 0.816756
0.900000 0.288027 0.811478
0.905000 0.281220 0.806136
0.910000 0.274474 0.800729
0.915000 0.267791 0.795256
0.920000 0.261172 0.789716
0.925000 0.254617 0.784106
0.930000 0.248128 0.778426
0.935000 0.241706 0.772674
0.940000 0.235352 0.766848
0.945000 0.229068 0.760947
0.950000 0.222854 0.754969
0.955000 0.216712 0.748913
0.960000 0.210644 0.742777
0.965000 0.204649 0.736559
0.970000 0.198730 0.730258
0.975000 0.192889 0.723872
0.980000 0.187126 0.717399
0.985000 0.181442 0.710837
0.990000 0.175840 0.704185
0.995000 0.170321 0.697440
1.000000 0.164885 0.690602
1.005000 0.159535 0.683668
1.010000 0.154272 0.676636
1.015000 0.149098 0.669505
1.020000 0.144013 0.662273
1.025000 0.139020 0.654939
1.030000 0.134120 0.647500
1.035000 0.129314 0.639956
1.040000 0.124603 0.632305
1.045000 0.119990 0.624545
1.050000 0.115476 0.616675
1.055000 0.111061 0.608695
1.060000 0.106748 0.600603
1.065000 0.102537 0.592399
1.070000 0.098430 0.584083
1.075000 0.094428 0.575654
1.080000 0.090532 0.567112
1.085000 0.086743 0.558459
1.090000 0.083062 0.549694
1.095000 0.079489 0.540820
1.100000 0.076025 0.531838
1.105000 0.072671 0.522750
1.110000 0.069427 0.513560
1.115000 0.066294 0.504271
1.120000 0.063270 0.494887
1.125000 0.060356 0.485413
1.130000 0.057552 0.475854
1.135000 0.054856 0.466218
1.140000 0.052269 0.456511
1.145000 0.049788 0.446742
1.150000 0.047413 0.436919
1.155000 0.045143 0.427051
1.160000 0.042975 0.417150
1.165000 0.040907 0.407226
1.170000 0.038938 0.397291
1.175000 0.037065 0.387359
1.180000 0.035285 0.377442
1.185000 0.033596 0.367554
1.190000 0.031995 0.357708
1.195000 0.030480 0.347920
1.200000 0.029046 0.338204
1.205000 0.027691 0.328574
1.210000 0.026412 0.319044
1.215000 0.025205 0.309628
1.220000 0.024068 0.300340
1.225000 0.022996 0.291193
1.230000 0.021987 0.282199
1.235000 0.021037 0.273369
1.240000 0.020143 0.264714
1.245000 0.019303 0.256243
1.250000 0.018513 0.247965
1.255000 0.017770 0.239886
1.260000 0.017072 0.232015
1.265000 0.016415 0.224354
1.270000 0.015798 0.216908
1.275000 0.015218 0.209681
1.280000 0.014672 0.202673
1.285000 0.014159 0.195885
1.290000 0.013675 0.189318
1.295000 0.013221 0.182970
1.300000 0.012792 0.176839
1.305000 0.012389 0.170923
1.310000 0.012008 0.165218
1.315000 0.011649 0.159721
1.320000 0.011311 0.154427
1.325000 0.010991 0.149331
1.330000 0.010688 0.144429
1.335000 0.010403 0.139716
1.340000 0.010132 0.135185
1.345000 0.009876 0.130831
1.350000 0.009633 0.126648
1.355000 0.009403 0.122630
1.360000 0.009185 0.118772
1.365000 0.008978 0.115068
1.370000 0.008781 0.111511
1.375000 0.008594 0.108097
1.380000 0.008416 0.104819
1.385000 0.008246 0.101672
1.390000 0.008084 0.098651
